Name,Processor,OS,Graphics,RAM,Storage,Weight,Display,Keyboard,Ports,Camera,Battery,Touchpad
Dell Pro 14 Premium Laptop,"Intel® Core™ Ultra 5 236V, vPro® (40 TOPS NPU, 8 cores, up to 4.7 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 5 236V vPro® processor, 16 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"14"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, 8MP + IR Cam",English US battery-saving mini LED backlit Copilot hotkey zero-lattice keyboard,2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ Alt Mode/USB Type-C/USB4/Power Delivery ports1 USB 3.2 Gen 1 (5 Gbps) with PowerShare port1 HDMI 2.1 port1 headset (headphone and microphone combo) port,"8MP HDR + IR Camera, TNR, Camera Shutter, Microphone8MP HDR + IR Camera with Presence Detection, TNR, Camera Shutter, Microphone",,Multi-touch gesture-enabled precision touchpad with integrated scrollingCollaboration Touchpad
Dell Pro 16 Laptop,"AMD Ryzen™ 5 220 Processor (22 MB cache, 6 cores, 12 threads, up to 4.9 GHz)",Windows 11 Pro,AMD Ryzen™ 5 220 Processor with AMD Radeon™ 740M graphics,,"256 GB, TLC, SSD",,"16"", Non-Touch, FHD+, Anti-Glare, 300 nits, 45% NTSC, FHD Cam",English US backlit Copilot key keyboard with numeric keypad,1 Global headset port1 HDMI 2.1 port1 USB 3.2 Gen 1 Type-A 1 USB 3.2 Gen 1 Type-A with power shareAMD Ryzen™ 200 Series2 x USB Type-C Thunderbolt™ 4.0 with Power Delivery 3.1 & DisplayPort™ 1.4a,"720p at 30 fps HD camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter1080p at 30 fps FHD camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter1080p at 30 fps FHD + IR camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter",,Multi-touch gesture-enabled precision touchpad with integrated scrolling
Dell Pro Max 14 Premium Laptop,"Intel® Core™ Ultra 7 265H, vPro® Enterprise (13 TOPS NPU, 16 cores, 16 threads, up to 5.30 GHz, 45W)",Windows 11 Pro,NVIDIA RTX PRO 1000 Blackwell 8GB GDDR7,,"512 GB Performance SSD, SED Ready,TLC",,"14"", Non-Touch, FHD+, Anti-Glare, 400 nits, 100% sRGB, 8MP + IR Cam",English US battery-saving mini LED backlit Copilot hotkey zero-lattice keyboard,2 x USB Type-C Thunderbolt™ 5 (80/120 Gbps) ports with Power Delivery and DisplayPort™ 2.12 x USB Type-C Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort™ 2.11 x global headset port,"8MP RGB + IR Camera, Dual-array microphones",,Haptic touchpad
Dell Pro Max 16 Premium Laptop,"Intel® Core™ Ultra 7 255H (13 TOPS NPU, 16 cores, 16 threads, up to 5.10 GHz, 45W)",Windows 11 Pro,NVIDIA RTX PRO 1000 Blackwell 8GB GDDR7,,"512 GB SSD, TLC",,"16"", Non-Touch, FHD+ 1920 x 1200, VRR 120Hz, 500 Nit, DCI-P3 100%, Anti-Glare, 8MP RGB + IR",English US battery-saving mini LED backlit Copilot hotkey zero-lattice keyboard,2 x USB Type-C Thunderbolt™ 5 (80/120 Gbps) ports with Power Delivery and DisplayPort™ 2.11 x USB Type-C Thunderbolt™ 4 (40 Gbps) port with Power Delivery and DisplayPort™ 2.11 x HDMI 2.1 port1 x global headset port,"8MP RGB + IR Camera, Dual-array microphones",,Haptic touchpad
Dell Pro 14 Plus Laptop or 2-in-1,"Intel® Core™ Ultra 5 235U, vPro® (12 TOPS NPU, 12 cores, up to 4.9 GHz)",Windows 11 Pro,Integrated Intel® graphics for Intel® Core™ Ultra 5 235U vPro® processor,,"256 GB, TLC, SSD",,"14"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, FHD IR Cam",English US backlit Copilot key keyboard,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (optional - not configurable on 2-in-1 chassis or with Core™ Ultra 200V Series CPUs regardless of chassis type)","1080p at 30 fps, FHD RGB HDR camera, Digital-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Digital-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell Pro 16 Plus Laptop,"AMD Ryzen™ 5 220 Processor (22 MB cache, 6 cores, 12 threads, up to 4.9 GHz)",Windows 11 Pro,"AMD Ryzen™ 5 220 Processor, 16GB LPDDR5x memory, AMD Radeon™ 740M graphics",,"256 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, FHD Cam",English US backlit Copilot key keyboard with numeric keypad,AMD Ryzen™ 200 Series2 x USB Type-C Thunderbolt™ 4.0 with Power Delivery3.1 & DisplayPort™ 1.4aAMD Ryzen™ AI 300 Series2 x USB Type-C Thunderbolt™ 4.0 with Power Delivery3.1 & DisplayPort™ 2.11 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 HDMI 2.1 port1 RJ45 (1 Gbps) Ethernet port1 Global headset jack,"1080p at 30 fps FHD RGB HDR camera, Temporal Noise Reduction, Camera Shutter1080p at 30 fps FHD + IR HDR camera, Temporal Noise Reduction, Camera Shutter",,Multi-touch gesture-enabled precision touchpad
Dell Pro Max 16 Laptop,"AMD Ryzen AI 5 PRO 340 (22MB cache, 6 cores, 12 threads, up to 4.8 GHz max boost, 45W)","Windows 11 Pro, Copilot+ PC",AMD Radeon Integrated Graphics,,"256GB, M.2 2230, SSD Gen4, Class 35",,"16"", Non-Touch, FHD+, LCD, 300 nits, FHD RGB, mic",English US backlit Copilot key keyboard with numeric keypad,2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort1 USB 3.2 Gen 1 Type-A (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 HDMI 2.1 port1 RJ45 (1 Gbps) Ethernet port1 Universal audio port,"1080p at 30 fps widescreen FHD+ RGB HDR camera, Dual-array microphones, TNR (optional)1080p at 30 fps widescreen FHD+ RGB HDR + IR camera, Dual-array microphones, TNR (optional)",,Premium Precision TouchPad with Multi-touch Gesture
Dell 15 Laptop,"13th Generation Intel® Core™ i5-1334U (10 cores, up to 4.60 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Dell Pro 13 Premium Laptop,"Intel® Core™ Ultra 5 236V, vPro® (40 TOPS NPU, 8 cores, up to 4.7 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 5 236V vPro® processor, 16 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"13.3"", Non-Touch, FHD+, Anti-Glare, 300 nit, 45% NTSC, 8MP + IR Cam",English US battery-saving mini LED backlit Copilot hotkey zero-lattice keyboard,2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ Alt Mode/USB Type-C/USB4/Power Delivery ports1 USB 3.2 Gen 1 (5 Gbps) with PowerShare port1 HDMI 2.1 port1 headset (headphone and microphone combo) port,"8MP HDR + IR Camera, TNR, Camera Shutter, Microphone8MP HDR + IR Camera with Presence Detection, TNR, Camera Shutter, Microphone",,Multi-touch gesture-enabled precision touchpad with integrated scrollingCollaboration Touchpad
Dell Pro 14 Laptop,"AMD Ryzen™ 5 220 Processor (22 MB cache, 6 cores, 12 threads, up to 4.9 GHz)",Windows 11 Pro,AMD Ryzen™ 5 220 Processor with AMD Radeon™ 740M graphics,,"256 GB, TLC, SSD",,"14"", Non-Touch, FHD+, Anti-Glare, 300 nits, 45% NTSC, FHD Cam",English US backlit Copilot key keyboard,1 Global headset port1 HDMI 2.1 port1 USB 3.2 Gen 1 Type-A 1 USB 3.2 Gen 1 Type-A with power shareAMD Ryzen™ 200 Series2 x USB Type-C Thunderbolt™ 4 with Power Delivery 3.1 & DisplayPort™ 1.4a,"720p at 30 fps HD camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter1080p at 30 fps FHD camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter1080p at 30 fps FHD + IR camera, Dual-array microphones, Temporal Noise Reduction, Camera Shutter",,Multi-touch gesture-enabled precision touchpad with integrated scrolling
Dell Pro 15 Essential Laptop,"Intel® Core™ 3 100U (6 cores, up to 4.7 GHz)",Windows 11 Pro,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone",,
Dell 15 Laptop,"13th Generation Intel® Core™ i5-1334U (10 cores, up to 4.60 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Dell 16 Laptop,"Intel® Core™ 7 150U (10 cores, up to 5.4 GHz)",Windows 11 Home,Intel® Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920x1200) Touch 300nits WVA/IPS Display with ComfortView,"Carbon Black English Non-Backlit Copilot Key Keyboard, Numeric Keypad",1 HDMI 1.4* 2 USB 3.2 Gen 1 (5 Gbps) Type-A 1 USB 3.2 Gen 2 (10Gbps) Type-C with Power Delivery 3.2 (10Gbps) & DisplayPort 1.4 1 Universal Audio Jack* 1 Power Jack,,,
Dell Pro 16 Plus Laptop,"Intel® Core™ Ultra 7 268V, vPro® (48 TOPS NPU, 8 cores, up to 5.0 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 7 268V vPro® processor, 32 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, 5MP + IR Cam, 5G capable",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (only with Core™ Series and Core™ Ultra 200U Series CPUs)","1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell Pro Max 14 Laptop,,,,,,,,,,,,
Dell Pro 13 Plus Laptop or 2-in-1,"Intel® Core™ Ultra 5 235U, vPro® (12 TOPS NPU, 12 cores, up to 4.9 GHz)",Windows 11 Pro,Integrated Intel® graphics for Intel® Core™ Ultra 5 235U vPro® processor,,"256 GB, TLC, SSD",,"13.3"", Non-Touch, FHD+, Anti-Glare, 300 nits, 45% NTSC, FHD Cam",English US backlit Copilot key keyboard,2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1  Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type A port with PowerShare1 USB 3.2 Gen 1 Type A port1 HDMI 2.1 port1 global headset jack,"1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell Pro 14 Plus Laptop or 2-in-1,"AMD Ryzen(TM) 5 PRO 215 Processor (22 MB cache, 6 cores, 12 threads, up to 4.7 GHz)",Windows 11 Pro,"AMD Ryzen™ 5 PRO 215 Processor, 16GB LPDDR5x memory, AMD Radeon™ 740M graphics",,"256 GB, TLC, SSD",,"14"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, NTSC, FHD Cam",English US backlit Copilot key keyboard,AMD Ryzen™ 200 Series2 x USB Type-C Thunderbolt™ 4.0 with Power Delivery3.1 & DisplayPort™ 1.4aAMD Ryzen™ AI 300 Series2 x USB Type-C Thunderbolt™ 4.0 with Power Delivery3.1 & DisplayPort™ 2.11 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 HDMI 2.1 port1 RJ45 (1 Gbps) Ethernet port (optional)1 Global headset jack,"1080p at 30 fps, FHD RGB HDR camera, Temporal Noise Reduction, Dual-array microphones, camera shutter1080p at 30 fps, FHD RGB + IR HDR camera, Temporal Noise Reduction, Dual-array microphones, camera shutter1800p at 30 fps, 5M RGB + IR HDR camera, Temporal Noise Reduction, Dual-array microphones, camera shutter, Ambient light sensor",,"Multi-touch gesture-enabled precision touchpad, seamless glass-integrated button"
Dell Pro 13 Plus Laptop or 2-in-1,,,,,,,,,,,,
Dell 16 Laptop,"Intel® Core™ 7 150U (10 cores, up to 5.4 GHz)",Windows 11 Home,Intel® Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920x1200) Touch 300nits WVA/IPS Display with ComfortView,"Carbon Black English Non-Backlit Copilot Key Keyboard, Numeric Keypad",1 HDMI 1.4* 2 USB 3.2 Gen 1 (5 Gbps) Type-A 1 USB 3.2 Gen 2 (10Gbps) Type-C with Power Delivery 3.2 (10Gbps) & DisplayPort 1.4 1 Universal Audio Jack* 1 Power Jack,,,
Dell Pro Max 14 Laptop,"AMD Ryzen AI 5 PRO 340 (22MB cache, 6 cores, 12 threads, up to 4.8 GHz max boost, 45W)","Windows 11 Pro, Copilot+ PC",AMD Radeon Integrated Graphics,,"256GB, M.2 2230, SSD Gen4, Class 35",,"14"", Non-Touch, FHD+, LCD, 300 nits, FHD RGB, mic",English US backlit Copilot key keyboard,2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort1 USB 3.2 Gen 1 Type-A (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 HDMI 2.1 port1 RJ45 (1 Gbps) Ethernet port1 Universal audio port,"1080p at 30 fps widescreen FHD+ RGB HDR camera, Dual-array microphones, TNR (optional)1080p at 30 fps widescreen FHD+ RGB HDR + IR camera, Dual-array microphones, TNR (optional)",,Premium Precision TouchPad with Multi-touch Gesture
Dell Pro 14 Essential Laptop,"Intel® Core™ 5 120U (10 cores, up to 5.0 GHz)",Windows 11 Pro,Intel® Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,14.0-inch 2K (1920x1200) Anti-Glare Non-Touch 300nits WVA/IPS Display,"English US backlit Copilot key keyboard, no numeric keypad",2 USB 3.2 Gen 1 Type-A (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® with Power Delivery and DisplayPort™1 headset (headphone and microphone combo) port* 1 HDMI 1.4 port1 power-adapter portNote: The maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output.,"Plastic:720p at 30 fps HD camera, Single-integrated microphone",,Precision touchpad
Dell Pro 15 Essential Laptop,AMD Ryzen™ 3 7320U with Radeon™ 610M,Windows 11 Pro,AMD Radeon™ 610M,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB Type-A 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® port (data only)1 USB 2.0 (480 Mbps) port1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power jack,720p at 30 fps HD camera,,
Dell Pro 14 Essential Laptop,"AMD Ryzen™ 5 220 Processor (6 cores, up to 4.9 GHz)",Windows 11 Pro,AMD Radeon™ Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,14.0-inch 2K (1920x1200) Anti-Glare Non-Touch 300nits WVA/IPS Display,"English US backlit Copilot key keyboard, no numeric keypad",1 HDMI 1.4 - The maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output. 1 USB 3.2 Gen 2 Type-C™ (DisplayPort/Power Delivery)2 USB 3.2 Gen 1 Type-A (5 Gbps)1 Global headset jack*,"Plastic:720p at 30 fps HD camera, Single-integrated microphone",,Precision touchpad
Dell Pro Rugged 14 Laptop,"Intel® Core™ Ultra 5 135U (12 cores, up to 4.4 GHz, 15 W)",Windows 11 Pro,"Intel® Core™ Ultra 5 135U (12 MB cache, 12 cores, up to 4.40 GHz, 15W), Intel Integrated Graphics",,"512 GB, M.2 2230, PCIe NVMe, SSD",,"14"", Non-Touch, FHD, WVA, Anti-Glare, 400 nits, RGB Cam",English US Rugged RGB Single Point backlit Copilot key keyboard,1 headset (headphone and microphone combo) port1 USB 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 1 port with PowerShare1 Thunderbolt™ 4/USB 4 Type-C® with Power Delivery1 Thunderbolt™ 4/USB 4 Type-C® with Power Delivery port (optional)1 HDMI 2.1 port1 RS-232 Serial Port1 RJ45 (1 Gbps) Ethernet port1 Optional I/O bay (Choose from: RJ45 (1 Gbps) Ethernet port/USB 3.2 Type-A port/Serial port/Fischer USB port),"720p at 30 fps HD-RGB camera, Dual-array microphones1080p at 30 fps FHD-IR camera, Dual-array microphones, ExpressSign-in™",,Multi-touch gesture-enabled precision touchpad
Dell Pro 16 Plus Laptop,"Intel® Core™ Ultra 7 268V, vPro® (48 TOPS NPU, 8 cores, up to 5.0 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 7 268V vPro® processor, 32 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, 5MP + IR Cam, 5G capable",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (only with Core™ Series and Core™ Ultra 200U Series CPUs)","1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell Pro Max 14 Laptop,,,,,,,,,,,,
Dell 16 Plus Laptop,"AMD Ryzen™ AI 5 340 Processor (50 TOPS NPU, 6 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",AMD Radeon™ Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920 x 1200) Touch 300nits WVA Display with ComfortView,"English Backlit Copilot key keyboard, numeric keypad",2 USB-C 3.2 Gen 2 (10Gbps) with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 Type-A1 HDMI 1.4*1 Universal Audio Jack* *The maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K2K output.,"1080p at 30 fps FHD camera, Dual-array microphones",,Precision touchpad
